Time,Channel A,Channel B
(s),(mV),(V)

3.11560197,-43.15928000,2.16040500
3.11591497,-43.15928000,2.16040500
3.11622797,-41.38920000,2.16040500
3.11654097,-41.38920000,2.16040500
3.11685397,-41.38920000,2.16040500
3.11716697,-41.38920000,2.16040500
3.11747997,-43.15928000,2.16040500
3.11779297,-41.38920000,2.16040500
3.11810597,-43.15928000,2.16040500
3.11841897,-43.15928000,2.16040500
3.11873197,-41.38920000,2.16040500
3.11904497,-41.38920000,2.16040500
3.11935797,-43.15928000,2.16040500
3.11967097,-43.15928000,2.16040500
3.11998397,-41.38920000,2.16040500
3.12029697,-43.15928000,2.16040500
3.12060997,-43.15928000,2.16040500
3.12092297,-41.38920000,2.16040500
3.12123597,-43.15928000,2.16040500
3.12154897,-43.15928000,2.16040500
3.12186197,-43.15928000,2.16040500
3.12217497,-41.38920000,2.16040500
3.12248797,-41.38920000,2.16040500
3.12280097,-41.38920000,2.16040500
3.12311397,-43.15928000,2.16040500
3.12342697,-41.38920000,2.20374200
3.12373997,-41.38920000,2.16040500
3.12405297,-41.38920000,2.16040500
3.12436597,-43.15928000,2.16040500
3.12467897,-41.38920000,2.16040500
3.12499197,-41.38920000,2.16040500
3.12530497,-43.15928000,2.16040500
3.12561797,-39.61303000,2.16040500
3.12593097,-39.61303000,2.16040500
3.12624397,-41.38920000,2.16040500
3.12655697,-41.38920000,2.16040500
3.12686997,-41.38920000,2.16040500
3.12718297,-41.38920000,2.20374200
3.12749597,-43.15928000,2.16040500
3.12780897,-41.38920000,2.16040500
3.12812197,-41.38920000,2.16040500
3.12843497,-43.15928000,2.16040500
3.12874797,-43.15928000,2.16040500
3.12906097,-43.15928000,2.16040500
3.12937397,-43.15928000,2.20374200
3.12968697,-43.15928000,2.16040500
3.12999997,-41.38920000,2.16040500
3.13031297,-41.38920000,2.16040500
3.13062597,-34.29670000,2.16040500
3.13093897,-41.38920000,2.16040500
3.13125197,-41.38920000,2.20374200
3.13156497,-41.38920000,2.16040500
3.13187797,-43.15928000,2.16040500
3.13219097,-41.38920000,2.16040500
3.13250397,-37.84295000,2.16040500
3.13281697,-41.38920000,2.16040500
3.13312997,-43.15928000,2.16040500
3.13344297,-43.15928000,2.16040500
3.13375597,-41.38920000,2.16040500
3.13406897,-41.38920000,2.16040500
3.13438197,-41.38920000,2.16040500
3.13469497,-43.15928000,2.16040500
3.13500797,-41.38920000,2.16040500
3.13532097,-43.15928000,2.16040500
3.13563397,-41.38920000,2.16040500
3.13594697,-44.92935000,2.16040500
3.13625997,-41.38920000,2.16040500
3.13657297,-41.38920000,2.16040500
3.13688597,-43.15928000,2.16040500
3.13719897,-41.38920000,2.16040500
3.13751197,-43.15928000,2.16040500
3.13782497,-41.38920000,2.16040500
3.13813797,-41.38920000,2.16040500
3.13845097,-43.15928000,2.16040500
3.13876397,-44.92935000,2.16040500
3.13907697,-41.38920000,2.16040500
3.13938997,-41.38920000,2.16040500
3.13970297,-44.92935000,2.16040500
3.14001597,-43.15928000,2.16040500
3.14032897,-41.38920000,2.16040500
3.14064197,-43.15928000,2.16040500
