Время;Канал A;Канал B
(с);(В);(В)

-3,14374997;0,02551347;5,70879200
-3,14062497;0,02551347;5,79516000
-3,13749997;0,02551347;5,79516000
-3,13437497;0,02551347;5,79516000
-3,13124997;0,02551347;5,79516000
-3,12812497;0,02551347;5,79516000
-3,12499997;0,02551347;5,79516000
-3,12187497;0,02551347;5,79516000
-3,11874997;0,02551347;5,79516000
-3,11562497;0,02551347;5,79516000
-3,11249997;0,02551347;5,79516000
-3,10937497;0,02551347;5,79516000
-3,10624997;0,02551347;5,79516000
-3,10312497;0,02551347;5,79516000
-3,09999997;0,02551347;5,79516000
-3,09687497;0,02551347;5,79516000
-3,09374997;0,02551347;5,79516000
-3,09062497;0,02551347;5,79516000
-3,08749997;0,02551347;5,79516000
-3,08437497;0,02551347;5,79516000
-3,08124997;0,02551347;5,79516000
-3,07812497;0,02551347;5,79516000
-3,07499997;0,02551347;5,70879200
-3,07187497;0,02551347;5,79516000
-3,06874997;0,02551347;5,70879200
-3,06562497;0,02551347;5,79516000
-3,06249997;0,02551347;5,79516000
-3,05937497;0,02551347;5,79516000
-3,05624997;0,02551347;5,79516000
-3,05312497;0,02551347;5,79516000
-3,04999997;0,02551347;5,79516000
-3,04687497;0,02551347;5,70879200
-3,04374997;0,02551347;5,79516000
-3,04062497;0,02551347;5,79516000
-3,03749997;0,02551347;5,79516000
-3,03437497;0,02551347;5,79516000
-3,03124997;0,02551347;5,70879200
-3,02812497;0,02551347;5,79516000
-3,02499997;0,02551347;5,79516000
-3,02187497;0,02551347;5,79516000
-3,01874997;0,02551347;5,79516000
-3,01562497;0,02551347;5,79516000
-3,01249997;0,02551347;5,79516000
-3,00937497;0,02551347;5,79516000
-3,00624997;0,02551347;5,79516000
-3,00312497;0,02551347;5,79516000
-2,99999997;0,02551347;5,79516000
-2,99687497;0,02551347;5,79516000
-2,99374997;0,02551347;5,70879200
-2,99062497;0,02551347;5,79516000
-2,98749997;0,02551347;5,79516000
-2,98437497;0,02551347;5,79516000
-2,98124997;0,02551347;5,70879200
-2,97812497;0,01666311;5,79516000
-2,97499997;0,02551347;5,79516000
-2,97187497;0,02551347;5,70879200
-2,96874997;0,02551347;5,79516000
-2,96562497;0,02551347;5,79516000
-2,96249997;0,01666311;5,79516000
-2,95937497;0,02551347;5,79516000
-2,95624997;0,02551347;5,70879200
-2,95312497;0,02551347;5,79516000
-2,94999997;0,02551347;5,70879200
-2,94687497;0,02551347;5,79516000
-2,94374997;0,02551347;5,70879200
-2,94062497;0,02551347;5,79516000
-2,93749997;0,02551347;5,79516000
-2,93437497;0,02551347;5,79516000
-2,93124997;0,02551347;5,79516000
-2,92812497;0,02551347;5,79516000
-2,92499997;0,02551347;5,79516000
-2,92187497;0,02551347;5,79516000
-2,91874997;0,02551347;5,79516000
-2,91562497;0,02551347;5,79516000
-2,91249997;0,02551347;5,70879200
-2,90937497;0,02551347;5,70879200
-2,90624997;0,02551347;5,79516000
-2,90312497;0,02551347;5,79516000
-2,89999997;0,02551347;5,79516000
-2,89687497;0,01666311;5,79516000
-2,89374997;0,02551347;5,79516000
-2,89062497;0,02551347;5,79516000
-2,88749997;0,02551347;5,79516000
-2,88437497;0,02551347;5,79516000
-2,88124997;0,02551347;5,79516000
-2,87812497;0,01666311;5,70879200
-2,87499997;0,02551347;5,79516000
-2,87187497;0,02551347;5,79516000
-2,86874997;0,02551347;5,79516000
-2,86562497;0,02551347;5,79516000
-2,86249997;0,02551347;5,79516000
-2,85937497;0,01666311;5,79516000
-2,85624997;0,02551347;5,70879200
-2,85312497;0,02551347;5,79516000
-2,84999997;0,02551347;5,79516000
-2,84687497;0,02551347;5,79516000
-2,84374997;0,01666311;5,79516000
-2,84062497;0,02551347;5,79516000
-2,83749997;0,02551347;5,79516000
-2,83437497;0,02551347;5,79516000
-2,83124997;0,02551347;5,79516000
-2,82812497;0,02551347;5,70879200
-2,82499997;0,02551347;5,79516000
-2,82187497;0,02551347;5,79516000
-2,81874997;0,02551347;5,79516000
-2,81562497;0,02551347;5,79516000
-2,81249997;0,02551347;5,79516000
-2,80937497;0,02551347;5,79516000
-2,80624997;0,02551347;5,79516000
-2,80312497;0,02551347;5,79516000
-2,79999997;0,02551347;5,79516000
-2,79687497;0,02551347;5,79516000
-2,79374997;0,02551347;5,70879200
-2,79062497;0,02551347;5,79516000
-2,78749997;0,02551347;5,79516000
-2,78437497;0,02551347;5,79516000
-2,78124997;0,02551347;5,79516000
-2,77812497;0,02551347;5,79516000
-2,77499997;0,02551347;5,70879200
-2,77187497;0,02551347;5,79516000
-2,76874997;0,02551347;5,70879200
-2,76562497;0,02551347;5,79516000
-2,76249997;0,02551347;5,79516000
-2,75937497;0,02551347;5,79516000
-2,75624997;0,02551347;5,70879200
-2,75312497;0,02551347;5,70879200
-2,74999997;0,02551347;5,79516000
-2,74687497;0,02551347;5,79516000
-2,74374997;0,02551347;5,70879200
-2,74062497;0,02551347;5,79516000
-2,73749997;0,02551347;5,79516000
-2,73437497;0,02551347;5,70879200
-2,73124997;0,02551347;5,79516000
-2,72812497;0,02551347;5,79516000
-2,72499997;0,02551347;5,79516000
-2,72187497;0,02551347;5,79516000
-2,71874997;0,02551347;5,79516000
-2,71562497;0,02551347;5,79516000
-2,71249997;0,02551347;5,79516000
-2,70937497;0,02551347;5,79516000
-2,70624997;0,02551347;5,79516000
-2,70312497;0,02551347;5,70879200
-2,69999997;0,02551347;5,79516000
-2,69687497;0,02551347;5,79516000
-2,69374997;0,02551347;5,79516000
-2,69062497;0,02551347;5,79516000
-2,68749997;0,02551347;5,79516000
