T ms, P pa
789183,99791.1953125
789193,99789.9375
789203,99794.125
789213,99791.75
789223,99787.484375
789233,99787.484375
789243,99794.8125
789254,99792.5546875
789264,99789.7109375
789274,99791.1953125
789284,99792.09375
789294,99793.78125
789304,99794.0
789314,99794.0
789324,99795.359375
789334,99795.359375
789344,99794.125
789354,99798.203125
789364,99794.6875
789374,99794.6875
789384,99794.59375
789394,99797.6171875
789404,99793.453125
789414,99796.0390625
789424,99795.359375
789434,99795.828125
789444,99795.828125
789454,99800.796875
789464,99803.640625
789474,99800.921875
789484,99800.921875
789494,99801.6875
789504,99799.34375
789514,99799.34375
789524,99800.015625
789534,99802.375
789544,99801.59375
789609,99804.1875
789619,99804.984375
789629,99805.671875
789639,99803.515625
789649,99803.7265625
789659,99807.8046875
789669,99807.703125
789679,99807.703125
789689,99804.09375
789699,99808.609375
789709,99809.84375
789719,99808.484375
789759,99811.1015625
789769,99810.296875
789779,99813.6953125
789789,99813.90625
789799,99813.90625
789809,99810.75
789819,99810.75
789829,99814.2734375
789839,99815.265625
789849,99811.1015625
789859,99818.203125
789869,99811.78125
789879,99814.5
789889,99812.109375
789899,99823.640625
789909,99820.0234375
789919,99819.46875
789929,99819.46875
789939,99819.125
789949,99818.4375
789959,99817.671875
789969,99822.0625
789979,99818.6640625
789989,99824.9921875
789999,99824.0
790076,99827.390625
790086,99828.96875
790096,99831.0078125
790106,99832.46875
790116,99834.9609375
790126,99826.3046875
790136,99826.3046875
790146,99829.2109375
790156,99831.5625
790166,99830.203125
790176,99831.46875
790186,99834.28125
790196,99830.4453125
790206,99830.4453125
790216,99838.34375
790226,99836.21875
790236,99840.390625
790246,99837.125
790256,99835.5390625
790266,99837.578125
790276,99835.1953125
790286,99834.28125
790296,99838.9375
790306,99839.703125
790316,99839.03125
790326,99844.234375
790336,99841.921875
790346,99841.921875
790356,99845.59375
790366,99843.6875
790376,99847.984375
790386,99850.015625
790396,99849.671875
790406,99849.671875
790416,99852.390625
790426,99858.0390625
790436,99851.9296875
790446,99854.09375
790456,99856.125
790466,99850.9375
790538,99861.34375
790548,99863.46875
790558,99863.46875
790568,99859.859375
790578,99860.203125
790588,99863.59375
790598,99866.09375
790608,99866.1875
790618,99863.46875
790628,99858.765625
790638,99863.375
790648,99870.390625
790658,99870.1640625
790668,99877.046875
790678,99872.078125
790688,99871.984375
790698,99871.984375
790708,99874.109375
790718,99876.375
790728,99876.828125
790738,99882.484375
790748,99880.90625
790758,99883.6171875
790768,99882.0390625
790778,99884.296875
790788,99888.59375
790798,99887.8125
790808,99888.5
790818,99883.328125
790828,99883.328125
790838,99889.6328125
790848,99889.265625
790908,99891.078125
790918,99897.3203125
790928,99893.921875
791006,99905.5625
791016,99904.203125
791026,99901.8515625
791036,99907.6015625
791046,99909.640625
791057,99912.4765625
791067,99906.8203125
791077,99911.0
791087,99915.0625
791097,99911.90625
791107,99914.171875
791117,99916.09375
791127,99917.328125
791137,99915.53125
791147,99919.59375
791157,99919.5
791167,99919.5
791177,99925.03125
791187,99925.25
791197,99924.6953125
791207,99927.4140625
791217,99928.546875
791227,99931.9453125
791237,99931.140625
791247,99932.0390625
791257,99933.3984375
791267,99934.9765625
